	0	1	2	3	4	5	6	7	8
0	0.0	0.0	0.0	0.0	1234.0	1250.0	1226.0	1257.0	1175.0
0	0.0	0.0	0.0	0.0	1218.0	1238.0	1250.0	1246.0	1164.0
0	0.0	0.0	0.0	0.0	1218.0	1230.0	1242.0	1246.0	1156.0
0	0.0	0.0	0.0	0.0	1214.0	1226.0	1246.0	1242.0	1152.0
0	0.0	0.0	0.0	0.0	1203.0	1222.0	1238.0	1218.0	1144.0
0	0.0	0.0	0.0	0.0	1199.0	1218.0	1230.0	1230.0	1132.0
0	0.0	0.0	0.0	0.0	1195.0	1207.0	1226.0	1218.0	1125.0
0	0.0	0.0	0.0	0.0	1183.0	1195.0	1179.0	1207.0	1113.0
0	0.0	0.0	0.0	0.0	1179.0	1195.0	1175.0	1195.0	1101.0
0	0.0	0.0	0.0	0.0	1171.0	1191.0	1207.0	1187.0	1097.0
0	0.0	0.0	0.0	0.0	1164.0	1187.0	1195.0	1183.0	1085.0
0	0.0	0.0	0.0	0.0	1148.0	1175.0	1191.0	1175.0	1082.0
0	0.0	0.0	0.0	0.0	1144.0	1167.0	1179.0	1167.0	1078.0
0	0.0	0.0	0.0	0.0	1140.0	1160.0	1160.0	1140.0	1074.0
0	0.0	0.0	0.0	0.0	1140.0	1156.0	1160.0	1148.0	1066.0
0	0.0	0.0	0.0	0.0	1132.0	1152.0	1160.0	1125.0	1062.0
0	0.0	0.0	0.0	0.0	1125.0	1148.0	1148.0	1113.0	1058.0
0	0.0	0.0	0.0	0.0	1121.0	1140.0	1136.0	1121.0	1050.0
0	0.0	0.0	0.0	0.0	1117.0	1128.0	1097.0	1101.0	1046.0
0	0.0	0.0	0.0	0.0	1117.0	1125.0	1089.0	1109.0	1042.0
0	0.0	0.0	0.0	0.0	1105.0	1113.0	1101.0	1085.0	1031.0
0	0.0	0.0	0.0	0.0	1109.0	1121.0	1105.0	1089.0	1019.0
0	0.0	0.0	0.0	0.0	1105.0	1113.0	1066.0	1089.0	1019.0
0	0.0	0.0	0.0	0.0	1101.0	1105.0	1097.0	1089.0	1015.0
0	0.0	0.0	0.0	0.0	1101.0	1101.0	1085.0	1093.0	1015.0
0	0.0	0.0	0.0	0.0	1085.0	1078.0	1078.0	1074.0	1000.0
0	0.0	0.0	0.0	0.0	1074.0	1074.0	1074.0	1074.0	1000.0
0	0.0	0.0	0.0	0.0	1082.0	1085.0	1085.0	1089.0	1011.0
0	0.0	0.0	0.0	0.0	1062.0	1058.0	1070.0	1066.0	1000.0
0	0.0	0.0	0.0	0.0	1046.0	1035.0	1050.0	1042.0	988.0
0	0.0	0.0	0.0	0.0	1039.0	1031.0	1042.0	1042.0	980.0
0	0.0	0.0	0.0	0.0	1031.0	1023.0	1039.0	1027.0	972.0
